Gender,Age,Occupation,Population
Female,27.0,MGR-Construction Managers,0.0
Female,28.0,MGR-Construction Managers,0.0
Female,29.0,MGR-Construction Managers,0.0
Female,30.0,MGR-Construction Managers,0.0
Male,18.0,MGR-Education And Childcare Administrators,0.0
Male,19.0,MGR-Education And Childcare Administrators,0.0
Male,20.0,MGR-Education And Childcare Administrators,677.0
Male,21.0,MGR-Education And Childcare Administrators,135.0
Male,22.0,MGR-Education And Childcare Administrators,223.0
Male,23.0,MGR-Education And Childcare Administrators,58.0
Male,24.0,MGR-Education And Childcare Administrators,0.0
Male,25.0,MGR-Education And Childcare Administrators,0.0
Male,26.0,MGR-Education And Childcare Administrators,0.0
Male,27.0,MGR-Education And Childcare Administrators,440.0
Male,28.0,MGR-Education And Childcare Administrators,139.0
Male,29.0,MGR-Education And Childcare Administrators,33.0
Male,30.0,MGR-Education And Childcare Administrators,81.0
Female,18.0,MGR-Education And Childcare Administrators,0.0
Female,19.0,MGR-Education And Childcare Administrators,0.0
Female,20.0,MGR-Education And Childcare Administrators,0.0
Female,21.0,MGR-Education And Childcare Administrators,82.0
Female,22.0,MGR-Education And Childcare Administrators,105.0
Female,23.0,MGR-Education And Childcare Administrators,0.0
Female,24.0,MGR-Education And Childcare Administrators,230.0
Female,25.0,MGR-Education And Childcare Administrators,0.0
Female,26.0,MGR-Education And Childcare Administrators,0.0
Female,27.0,MGR-Education And Childcare Administrators,132.0
Female,28.0,MGR-Education And Childcare Administrators,229.0
Female,29.0,MGR-Education And Childcare Administrators,44.0
Female,30.0,MGR-Education And Childcare Administrators,176.0
Male,18.0,MGR-Architectural And Engineering Managers,0.0
Male,19.0,MGR-Architectural And Engineering Managers,0.0
Male,20.0,MGR-Architectural And Engineering Managers,0.0
Male,21.0,MGR-Architectural And Engineering Managers,0.0
Male,22.0,MGR-Architectural And Engineering Managers,0.0
Male,23.0,MGR-Architectural And Engineering Managers,0.0
Male,24.0,MGR-Architectural And Engineering Managers,0.0
